
🇨🇳港台电影,#genre#

千禧经典台,https://cdn9.163189.xyz/smt1.1.php?id=Tvbclassic
千禧经典台,https://cdn9.163189.xyz/smt3.1.1.php?id=Tvbclassic
千禧经典台,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
天映频道,https://cdn9.163189.xyz/smt1.1.php?id=Celestial
天映频道,https://cdn9.163189.xyz/smt3.1.1.php?id=Celestial
天映频道,http://php.jdshipin.com:8880/smt.php?id=Celestial
天映经典,https://cdn9.163189.xyz/smt1.1.php?id=Celestial2
天映经典,https://cdn9.163189.xyz/smt3.1.1.php?id=Celestial2
天映经典,http://php.jdshipin.com:8880/smt.php?id=Celestial2
爱奇艺,https://cdn9.163189.xyz/smt1.1.php?id=Qiyi
爱奇艺,https://cdn9.163189.xyz/smt3.1.1.php?id=Qiyi
爱奇艺,http://php.jdshipin.com:8880/smt.php?id=Qiyi


星影,http://hkenlive.uk/livehttpplay?channel_id=13003
爆谷,http://hkenlive.uk/livehttpplay?channel_id=13002


东森电影,http://stream-ali1.csslcloud.net/live/bCfUAGCL9ukBOGb6dOi9T4srbi9yKesDJWcvlAgBMV6uv722A6.flv
东森洋片,http://stream-ali1.csslcloud.net/live/kik9tNV4srbiMDD687bFX3vtLMD4Lwg69y94g8XKH40P1BOa5U.flv
天映经典2,http://stream-ali1.csslcloud.net/live/m9HgJVv5tpj9y6X4G19qxVJc0cReeehuBpFdXTV9XG4BHoCfje.flv 
天映频道,http://stream-ali1.csslcloud.net/live/XnAdPMgnYti2B9qxVJVqSXjdBemJSo8pZTaVRnBNWQx6BSvNiq.flv 
天映频道2,http://stream-ali1.csslcloud.net/live/F1ivcJGhnLpvXiIFMzxSRcAFyR9qxVJfOK9k9OLV3eXJVEyv8B.flv
美亚电影(香港),http://stream-ali1.csslcloud.net/live/AyIsPzx3VHE0Zdn9qxVJ9vIskOMwiyhcmDJKYU2VVhXYHm5WRd.flv
美亚电影,http://stream-ali1.csslcloud.net/live/IcmEedVfQlHHUXtdsqvDLaKLpE639j7xCDHMM7ls6UoXnJ9OQm.flv
CM+,http://stream-ali1.csslcloud.net/live/GfPVn0eDChn6UoXnmsvZeKXYTNMgH8clNLUesg4VlSCLjkEICb.flv
星空卫视,http://stream-ali1.csslcloud.net/live/live/k64rsdGlshSyfwv329281DpNQWdegX0tm6NMsj6OWsUFWUahqU.flv

